day_month,y2020,y2019,y2018,y2017
2020-02-09,6.8,6.3,7.4,6.5
2020-02-08,7,6.1,7.3,5.1
2020-02-07,6.7,5.4,6.2,4.1
2020-02-06,5.7,7.8,6.9,4.9
2020-02-05,6.1,10.2,7.3,4.7
2020-02-04,6.9,6.4,5.8,4.5
2020-02-03,5.3,5.2,6.4,6.9
2020-02-02,4.8,5.3,6.3,7.7
2020-02-01,5,8,9,5.8
2020-01-31,5,9,4.6,7.3
2020-01-30,4.9,11.8,5.7,5.9
2020-01-29,4.7,8.8,5.5,5.6
2020-01-28,5.6,7.7,3.7,5.3
2020-01-27,6.4,7.9,3.4,4.9
2020-01-26,5.7,7.3,3.3,6.1
2020-01-25,5.8,6.9,3.3,7.8
2020-01-24,5.3,7.6,5.1,8.4
2020-01-23,4.6,7.1,6.5,7.1
2020-01-22,4.7,5.3,8.6,9.4
2020-01-21,5.6,7.8,6.5,8.6
2020-01-20,4.7,10.2,6.1,5.5
2020-01-19,4.4,8.6,8.7,6.1
2020-01-18,4.8,7.4,8.2,7.8
2020-01-17,4.9,9.6,5.7,4.6
2020-01-16,5.5,9.5,6.6,6.5
2020-01-15,5.4,8.6,8,8.6
2020-01-14,5,7.5,9.8,8
2020-01-13,5.1,8.8,10.3,8.1
2020-01-12,5.9,8.4,8.6,7.8
2020-01-11,5.6,9.6,5.3,7.3
2020-01-10,4.9,8.9,6.9,5.4
2020-01-09,4.1,7.5,8.5,6.6
2020-01-08,4.9,7.2,6.5,6.6
2020-01-07,6,7.6,6.9,5.5
2020-01-06,5.9,6.9,7.3,6.1
2020-01-05,5.6,7.6,5.3,8.6
2020-01-04,5.3,6.5,6.5,6.6
2020-01-03,5.7,7.1,4.9,7.2
2020-01-02,7,8.7,5.4,8
2020-01-01,6,9.3,7.4,5.7
