day_month,y2020,y2019,y2018,y2017
2020-07-02,NA,NA,NA,59
2020-07-01,NA,NA,60,78
2020-06-30,NA,164,63,57
2020-06-29,NA,161,59,55
2020-06-28,NA,149,48,67
2020-06-27,NA,134,75,96
2020-06-26,NA,102,112,101
2020-06-25,NA,83,161,125
2020-06-24,NA,66,125,118
2020-06-23,NA,82,148,97
2020-06-22,NA,110,150,90
2020-06-21,NA,118,149,84
2020-06-20,NA,85,137,68
2020-06-19,NA,140,103,138
2020-06-18,64,56,103,138
2020-06-17,68,90,143,71
2020-06-16,73,90,440,87
2020-06-15,82,168,522,224
2020-06-14,93,119,809,178
2020-06-13,86,118,999,115
2020-06-12,93,133,303,101
2020-06-11,86,272,134,76
2020-06-10,95,136,94,139
2020-06-09,92,149,80,126
2020-06-08,73,113,120,81
2020-06-07,65,106,106,99
2020-06-06,58,139,103,150
2020-06-05,66,125,98,149
2020-06-04,91,109,117,200
2020-06-03,81,170,101,148
2020-06-02,68,137,101,153
2020-06-01,62,172,135,127
2020-05-31,37,200,144,86
2020-05-30,45,140,167,85
2020-05-29,53,120,180,84
2020-05-28,139,109,163,77
2020-05-27,99,106,178,160
2020-05-26,114,88,152,137
2020-05-25,98,82,146,125
2020-05-24,114,80,172,134
2020-05-23,124,144,188,135
2020-05-22,120,123,139,186
2020-05-21,98,122,130,321
2020-05-20,92,130,137,160
2020-05-19,112,104,155,144
2020-05-18,104,71,139,135
2020-05-17,103,154,173,131
2020-05-16,89,115,124,168
2020-05-15,70,121,113,159
2020-05-14,81,81,101,149
2020-05-13,99,195,137,172
2020-05-12,68,255,200,315
2020-05-11,70,161,167,132
2020-05-10,75,182,123,121
2020-05-09,85,308,112,171
2020-05-08,76,283,79,185
2020-05-07,57,242,178,160
2020-05-06,100,175,169,166
2020-05-05,75,153,104,205
2020-05-04,47,126,83,131
2020-05-03,62,93,95,169
2020-05-02,76,170,98,131
2020-05-01,93,193,107,113
2020-04-30,79,178,130,134
2020-04-29,76,154,156,172
2020-04-28,58,167,198,131
2020-04-27,45,178,193,143
2020-04-26,75,143,269,97
2020-04-25,58,164,167,137
2020-04-24,83,155,157,134
2020-04-23,85,163,125,132
2020-04-22,77,152,132,190
2020-04-21,63,123,400,245
2020-04-20,75,116,192,156
2020-04-19,52,99,156,170
2020-04-18,70,64,145,228
2020-04-17,68,53,154,186
2020-04-16,121,86,189,177
2020-04-15,124,112,141,197
2020-04-14,87,NA,131,187
2020-04-13,83,115,107,181
2020-04-12,64,129,69,151
2020-04-11,80,122,81,129
2020-04-10,73,140,143,111
2020-04-09,58,127,76,107
2020-04-08,63,167,87,209
2020-04-07,70,192,86,438
2020-04-06,77,183,128,113
2020-04-05,70,156,173,103
2020-04-04,57,158,141,115
2020-04-03,51,122,142,100
2020-04-02,54,124,134,107
2020-04-01,54,104,119,137
2020-03-31,56,111,160,133
2020-03-30,52,142,137,104
2020-03-29,50,145,126,157
2020-03-28,29,144,142,141
2020-03-27,36,109,136,109
2020-03-26,59,106,115,116
2020-03-25,57,97,115,104
2020-03-24,79,87,112,136
2020-03-23,70,92,95,179
2020-03-22,80,83,114,166
2020-03-21,109,113,178,151
2020-03-20,118,136,140,148
2020-03-19,114,131,107,141
2020-03-18,99,117,94,122
2020-03-17,101,112,120,130
2020-03-16,91,91,142,139
2020-03-15,80,92,187,124
2020-03-14,59,137,175,105
2020-03-13,119,135,133,94
2020-03-12,99,87,126,90
2020-03-11,78,126,106,70
2020-03-10,90,100,101,69
2020-03-09,81,103,129,88
2020-03-08,89,120,149,126
2020-03-07,61,121,109,151
2020-03-06,33,105,100,137
2020-03-05,57,82,99,129
2020-03-04,115,98,107,113
2020-03-03,124,67,120,100
2020-03-02,120,114,146,138
2020-03-01,62,109,141,179
2020-02-29,82,NA,NA,NA
2020-02-28,101,109,157,169
2020-02-27,118,69,108,131
2020-02-26,150,83,94,126
2020-02-25,131,112,119,100
2020-02-24,93,99,190,100
2020-02-23,108,78,183,115
2020-02-22,73,87,166,134
2020-02-21,60,104,192,143
2020-02-20,131,99,183,172
2020-02-19,149,127,178,155
2020-02-18,140,123,137,139
2020-02-17,162,107,145,144
2020-02-16,139,112,129,168
2020-02-15,109,117,108,176
2020-02-14,101,137,96,161
2020-02-13,110,190,107,137
2020-02-12,167,200,93,140
2020-02-11,176,175,164,146
2020-02-10,168,150,200,128
2020-02-09,143,96,199,141
2020-02-08,146,98,186,148
2020-02-07,144,71,139,101
2020-02-06,122,159,159,195
2020-02-05,137,292,167,142
2020-02-04,180,134,146,166
2020-02-03,143,123,136,172
2020-02-02,118,156,159,204
2020-02-01,121,157,172,130
2020-01-31,104,174,151,153
2020-01-30,104,183,154,161
2020-01-29,85,132,171,110
2020-01-28,99,122,158,102
2020-01-27,183,127,176,61
2020-01-26,188,109,151,115
2020-01-25,139,83,139,196
